Base Number,Pick Up Date,Number of Trips,Number of Vehicles
b01013,07/04/2015, 48 , 5 
B01016,07/04/2015," 2,014 ", 71 
B01177,07/04/2015, 185 , 13 
B01197,07/04/2015, 51 , 18 
b01233,07/04/2015, 433 , 98 
B01292,07/04/2015, 84 , 8 
B01308,07/04/2015, 4 , 4 
B01311,07/04/2015, 35 , 9 
B01355,07/04/2015, 596 , 51 
B01367,07/04/2015, 20 , 11 
B01398,07/04/2015, 1 , -   
B01417,07/04/2015, 20 , -   
B01432,07/04/2015, 37 , 8 
B01445,07/04/2015, 117 , 46 
B01478,07/04/2015, 106 , 11 
B01509,07/04/2015, 668 , 65 
B01608,07/04/2015, 3 , 3 
B01614,07/04/2015, 27 , 5 
B01623,07/04/2015, 65 , 9 
B01625,07/04/2015, 108 , 10 
B01653,07/04/2015, 154 , 13 
B01672,07/04/2015, 46 , 19 
B01727,07/04/2015, 1 , 1 
B01751,07/04/2015, 68 , -   
B01779,07/04/2015, 6 , 3 
B01808,07/04/2015, 21 , 10 
B01846,07/04/2015, 1 , 1 
B01875,07/04/2015, 2 , 1 
B01877,07/04/2015, 28 , 15 
B01899,07/04/2015, 373 , 44 
B01923,07/04/2015, 14 , 5 
B01957,07/04/2015, 6 , 3 
B01970,07/04/2015, 5 , 2 
B01979,07/04/2015, 1 , 1 
B01984,07/04/2015, 235 , 60 
B02003,07/04/2015, 10 , 7 
B02005,07/04/2015, 2 , 1 
B02034,07/04/2015, 66 , 13 
B02054,07/04/2015, 26 , 6 
B02127,07/04/2015, 2 , 1 
B02133,07/04/2015, 3 , 3 
B02147,07/04/2015, 14 , 8 
B02152,07/04/2015, 16 , -   
B02155,07/04/2015, 3 , 2 
B02167,07/04/2015, 1 , -   
B02175,07/04/2015, 1 , 1 
B02182,07/04/2015, 7 , 1 
B02191,07/04/2015, 6 , 4 
B02217,07/04/2015, 2 , 2 
B02241,07/04/2015, 46 , -   
B02248,07/04/2015, 8 , 1 
B02252,07/04/2015, 14 , 7 
B02285,07/04/2015, 20 , 16 
B02287,07/04/2015, 6 , 3 
B02389,07/04/2015, 13 , 7 
B02423,07/04/2015, 17 , 2 
B02440,07/04/2015, 5 , -   
B02447,07/04/2015, 2 , 2 
B02453,07/04/2015, 32 , 8 
B02460,07/04/2015, 11 , 7 
B02468,07/04/2015, 66 , 18 
B02491,07/04/2015, 13 , 2 
B02511,07/04/2015, 31 , 13 
B02532,07/04/2015, 10 , -   
B02541,07/04/2015, 7 , 4 
B02555,07/04/2015, 21 , -   
B02574,07/04/2015, 22 , 15 
B02590,07/04/2015, 42 , -   
B02610,07/04/2015, 5 , 3 
B02631,07/04/2015, 3 , 3 
B02661,07/04/2015, 67 , -   
B02666,07/04/2015, 2 , 2 
B02674,07/04/2015, 9 , 2 
B02711,07/04/2015, 8 , 3 
B02723,07/04/2015, 5 , 4 
B02727,07/04/2015, 2 , 2 
B02808,07/04/2015, 15 , 2 
B00008,07/05/2015, 189 , 15 
B00009,07/05/2015, 145 , 10 
B00013,07/05/2015, 74 , 41 
B00014,07/05/2015, 105 , 48 
B00030,07/05/2015, 84 , 9 
B00083,07/05/2015, 3 , 2 
B00095,07/05/2015, 606 , 58 
B00170,07/05/2015, 48 , 8 
B00171,07/05/2015, 122 , 13 
B00202,07/05/2015, 3 , 2 
B00208,07/05/2015, 18 , 4 
B00210,07/05/2015, 34 , 13 
B00235,07/05/2015, 1 , 1 
B00236,07/05/2015, 7 , 5 
B00277,07/05/2015, 3 , 3 
B00281,07/05/2015, 51 , 7 
B00381,07/05/2015, 48 , 19 
B00411,07/05/2015, 42 , 18 
B00412,07/05/2015, 117 , 28 
B00477,07/05/2015, 86 , 39 
B00481,07/05/2015, 42 , 5 
B00485,07/05/2015, 4 , 4 
B00593,07/05/2015, 2 , 2 
B00608,07/05/2015, 29 , 11 
B00623,07/05/2015, 5 , 2 
B00789,07/05/2015, 152 , 68 
B00837,07/05/2015, 179 , 70 
b00881,07/05/2015, 34 , 13 
B00888,07/05/2015, 25 , 14 
b00941,07/05/2015, 60 , -   
B00948,07/05/2015," 1,098 ", 55 
b00983,07/05/2015, 93 , 9 
b01013,07/05/2015, 51 , 6 
B01016,07/05/2015," 1,746 ", 66 
B01177,07/05/2015, 126 , 9 
B01197,07/05/2015, 47 , 28 
b01233,07/05/2015, 407 , 83 
B01269,07/05/2015, 37 , 6 
B01292,07/05/2015, 66 , 7 
B01308,07/05/2015, 2 , 2 
B01311,07/05/2015, 24 , 8 
B01351,07/05/2015, 10 , 5 
B01355,07/05/2015, 448 , 48 
B01367,07/05/2015, 53 , 25 
B01398,07/05/2015, 1 , -   
B01417,07/05/2015, 130 , -   
B01432,07/05/2015, 187 , 26 
B01445,07/05/2015, 144 , 45 
B01475,07/05/2015, 1 , -   
B01478,07/05/2015, 83 , 9 
B01509,07/05/2015, 659 , 61 
B01559,07/05/2015, 240 , 10 
B01608,07/05/2015, 7 , 3 
B01614,07/05/2015, 23 , 5 
B01623,07/05/2015, 58 , 8 
B01625,07/05/2015, 105 , 10 
B01635,07/05/2015, 20 , 7 
B01653,07/05/2015, 112 , 10 
B01672,07/05/2015, 47 , 20 
B01727,07/05/2015, 2 , 2 
B01751,07/05/2015, 77 , -   
B01779,07/05/2015, 12 , 6 
B01808,07/05/2015, 14 , 10 
B01846,07/05/2015, 1 , 1 
B01849,07/05/2015, 5 , 3 
B01875,07/05/2015, 7 , 1 
B01876,07/05/2015, 1 , 1 
B01877,07/05/2015, 86 , 43 
B01899,07/05/2015, 415 , 45 
B01923,07/05/2015, 13 , 6 
B01928,07/05/2015, 3 , 2 
B01957,07/05/2015, 3 , 1 
B01970,07/05/2015, 5 , 3 
B01979,07/05/2015, 1 , 1 
B01984,07/05/2015, 117 , 43 
B02003,07/05/2015, 35 , 23 
B02005,07/05/2015, 8 , 7 
B02034,07/05/2015, 67 , 12 
B02054,07/05/2015, 20 , 6 
B02073,07/05/2015, 3 , 3 
B02127,07/05/2015, 1 , 1 
B02133,07/05/2015, 2 , 1 
B02147,07/05/2015, 21 , 10 
B02152,07/05/2015, 19 , -   
B02155,07/05/2015, 3 , 2 
B02167,07/05/2015, 1 , -   
B02175,07/05/2015, 2 , 2 
B02182,07/05/2015, 9 , 1 
B02191,07/05/2015, 13 , 7 
B02196,07/05/2015, 1 , 1 
B02217,07/05/2015, 5 , 2 
B02241,07/05/2015, 46 , -   
B02252,07/05/2015, 4 , 1 
B02285,07/05/2015, 46 , 28 
B02287,07/05/2015, 9 , 5 
B02389,07/05/2015, 28 , 9 
B02423,07/05/2015, 15 , 2 
B02440,07/05/2015, 16 , -   
B02447,07/05/2015, 2 , 2 
B02453,07/05/2015, 19 , 8 
B02460,07/05/2015, 25 , 11 
B02468,07/05/2015, 60 , 17 
B02470,07/05/2015, 6 , 3 
B02491,07/05/2015, 18 , 3 
B02511,07/05/2015, 32 , 12 
B02532,07/05/2015, 7 , -   
B02541,07/05/2015, 8 , 6 
B02555,07/05/2015, 11 , -   
B02574,07/05/2015, 71 , 39 
B02590,07/05/2015, 54 , -   
B02610,07/05/2015, 6 , 4 
B02611,07/05/2015, 10 , 5 
B02631,07/05/2015, 1 , 1 
B02661,07/05/2015, 33 , -   
B02666,07/05/2015, 4 , 4 
B02675,07/05/2015, 10 , 3 
B02681,07/05/2015, 4 , 3 
B02694,07/05/2015, 5 , 5 
B02711,07/05/2015, 17 , 3 
B02723,07/05/2015, 1 , 1 
B02808,07/05/2015, 6 , 1 
B00008,07/06/2015, 201 , 17 
B00009,07/06/2015, 172 , 15 
B00013,07/06/2015, 313 , 99 
B00014,07/06/2015, 444 , 134 
B00030,07/06/2015, 136 , 14 
B00083,07/06/2015, 21 , 10 
B00095,07/06/2015, 512 , 64 
B00170,07/06/2015, 48 , 8 
B00171,07/06/2015, 173 , 15 
B00202,07/06/2015, 48 , 13 
B00208,07/06/2015, 18 , 4 
B00210,07/06/2015, 22 , 13 
B00235,07/06/2015, 25 , 14 
B00236,07/06/2015, 34 , 13 
B00277,07/06/2015, 145 , 38 
B00281,07/06/2015, 100 , 10 
B00381,07/06/2015, 270 , 88 
B00411,07/06/2015, 160 , 54 
B00412,07/06/2015, 310 , 69 
B00477,07/06/2015, 391 , 133 
B00481,07/06/2015, 50 , 7 
B00485,07/06/2015, 6 , 5 
B00593,07/06/2015, 3 , 3 
B00608,07/06/2015, 138 , 38 
B00623,07/06/2015, 12 , 4 
B00789,07/06/2015, 569 , 203 
B00837,07/06/2015, 325 , 126 
b00881,07/06/2015, 20 , 13 
B00888,07/06/2015, 71 , 25 
b00941,07/06/2015, 47 , -   
B00948,07/06/2015," 1,020 ", 60 
b00983,07/06/2015, 90 , 13 
b01013,07/06/2015, 69 , 8 
B01016,07/06/2015," 1,508 ", 70 
B01177,07/06/2015, 141 , 10 
B01197,07/06/2015, 213 , 76 
b01233,07/06/2015, 339 , 67 
B01269,07/06/2015, 42 , 6 
B01292,07/06/2015, 58 , 9 
B01308,07/06/2015, 105 , 24 
B01311,07/06/2015, 56 , 10 
B01351,07/06/2015, 10 , 5 
B01355,07/06/2015, 430 , 45 
B01367,07/06/2015, 178 , 68 
B01398,07/06/2015, 1 , -   
B01417,07/06/2015, 314 , -   
B01432,07/06/2015, 279 , 26 
B01445,07/06/2015, 135 , 49 
B01475,07/06/2015, 1 , -   
B01478,07/06/2015, 71 , 11 
B01509,07/06/2015, 622 , 69 
B01559,07/06/2015, 570 , 18 
B01608,07/06/2015, 9 , 4 
B01614,07/06/2015, 37 , 6 
B01623,07/06/2015, 61 , 9 
B01625,07/06/2015, 101 , 10 
B01635,07/06/2015, 26 , 8 
B01653,07/06/2015, 117 , 11 
B01672,07/06/2015, 48 , 19 
B01727,07/06/2015, 3 , 3 
B01751,07/06/2015, 129 , -   
B01779,07/06/2015, 40 , 19 
B01808,07/06/2015, 50 , 10 
B01849,07/06/2015, 1 , 1 
B01875,07/06/2015, 230 , 57 
B01876,07/06/2015, 1 , 1 
B01877,07/06/2015, 230 , 103 
B01899,07/06/2015, 594 , 72 
B01923,07/06/2015, 45 , 13 
B01957,07/06/2015, 8 , 3 
B01970,07/06/2015, 6 , 4 
B01979,07/06/2015, 1 , 1 
B01984,07/06/2015, 756 , 116 
B02003,07/06/2015, 163 , 73 
B02005,07/06/2015, 22 , 13 
B02034,07/06/2015, 34 , 10 
B02054,07/06/2015, 40 , 10 
B02073,07/06/2015, 10 , 5 
B02127,07/06/2015, 7 , 6 
B02133,07/06/2015, 73 , 27 
B02147,07/06/2015, 25 , 11 
B02155,07/06/2015, 10 , 8 
B02160,07/06/2015, 4 , 4 
B02175,07/06/2015, 3 , 3 
B02182,07/06/2015, 14 , 3 
B02191,07/06/2015, 25 , 14 
B02217,07/06/2015, 13 , 8 
B02241,07/06/2015, 96 , -   
B02248,07/06/2015, 12 , 1 
B02252,07/06/2015, 9 , 3 
B02285,07/06/2015, 126 , 63 
B02287,07/06/2015, 8 , 5 
B02377,07/06/2015, 5 , 2 
B02389,07/06/2015, 56 , 17 
B02423,07/06/2015, 21 , 3 
B02440,07/06/2015, 36 , -   
B02447,07/06/2015, 2 , 2 
B02453,07/06/2015, 19 , 8 
B02460,07/06/2015, 11 , 9 
B02468,07/06/2015, 105 , 32 
B02470,07/06/2015, 20 , 8 
B02491,07/06/2015, 41 , 6 
B02511,07/06/2015, 30 , 13 
B02532,07/06/2015, 31 , -   
B02541,07/06/2015, 16 , 7 
B02555,07/06/2015, 28 , -   
B02574,07/06/2015, 59 , 39 
B02590,07/06/2015, 48 , -   
B02610,07/06/2015, 6 , 3 
B02611,07/06/2015, 10 , 5 
B02631,07/06/2015, 7 , 4 
B02633,07/06/2015, 3 , 3 
B02661,07/06/2015, 59 , -   
B02666,07/06/2015, 7 , 7 
B02674,07/06/2015, 31 , 6 
B02675,07/06/2015, 53 , 8 
B02681,07/06/2015, 7 , 4 
B02694,07/06/2015, 5 , 3 
B02711,07/06/2015, 13 , 3 
B02723,07/06/2015, 45 , 18 
B02727,07/06/2015, 2 , 2 
B02808,07/06/2015, 11 , 2 
B00008,07/07/2015," 2,135 ", 33 
B00009,07/07/2015, 111 , 9 
B00013,07/07/2015, 441 , 112 
B00014,07/07/2015, 623 , 155 
B00030,07/07/2015, 108 , 11 
B00083,07/07/2015, 23 , 12 
B00095,07/07/2015, 506 , 60 
B00170,07/07/2015, 50 , 8 
B00171,07/07/2015, 145 , 14 
B00202,07/07/2015, 81 , 19 
B00208,07/07/2015, 24 , 3 
B00210,07/07/2015, 22 , 9 
B00235,07/07/2015, 27 , 13 
B00236,07/07/2015, 38 , 13 
B00277,07/07/2015, 184 , 37 
B00281,07/07/2015, 119 , 11 
B00381,07/07/2015, 438 , 117 
B00411,07/07/2015, 234 , 60 
B00412,07/07/2015, 399 , 79 
B00477,07/07/2015, 567 , 148 
B00481,07/07/2015, 76 , 7 
B00485,07/07/2015, 3 , 3 
B00593,07/07/2015, 1 , 1 
B00608,07/07/2015, 170 , 42 
B00623,07/07/2015, 7 , 4 
B00789,07/07/2015, 745 , 218 
B00837,07/07/2015, 446 , 159 
b00881,07/07/2015, 25 , 9 
B00888,07/07/2015, 148 , 37 
b00941,07/07/2015, 52 , -   
B00948,07/07/2015," 1,056 ", 57 
b00983,07/07/2015, 97 , 11 
b01013,07/07/2015, 53 , 6 
B01016,07/07/2015," 1,674 ", 69 
B01177,07/07/2015, 129 , 13 
B01197,07/07/2015, 241 , 86 
b01233,07/07/2015, 389 , 84 
B01269,07/07/2015, 36 , 7 
B01292,07/07/2015, 61 , 8 
B01308,07/07/2015, 99 , 24 
B01311,07/07/2015, 56 , 10 
B01351,07/07/2015, 10 , 5 
B01355,07/07/2015, 438 , 44 
B01367,07/07/2015, 250 , 78 
B01398,07/07/2015, 1 , -   
B01417,07/07/2015, 238 , -   
B01432,07/07/2015, 215 , 25 
B01445,07/07/2015, 136 , 50 
B01475,07/07/2015, 1 , -   
B01478,07/07/2015, 77 , 10 
B01509,07/07/2015, 615 , 69 
B01559,07/07/2015, 612 , 19 
B01608,07/07/2015, 19 , 8 
B01614,07/07/2015, 40 , 6 
B01623,07/07/2015, 61 , 9 
B01625,07/07/2015, 97 , 10 
B01635,07/07/2015, 26 , 8 
B01653,07/07/2015, 120 , 12 
B01672,07/07/2015, 53 , 26 
B01727,07/07/2015, 4 , 3 
B01751,07/07/2015, 151 , -   
B01779,07/07/2015, 50 , 19 
B01808,07/07/2015, 63 , 10 
B01849,07/07/2015, 2 , 2 
B01875,07/07/2015, 265 , 58 
B01877,07/07/2015, 374 , 121 
B01899,07/07/2015, 745 , 84 
B01923,07/07/2015, 32 , 10 
B01928,07/07/2015, 3 , 2 
B01957,07/07/2015, 5 , 2 
B01970,07/07/2015, 7 , 4 
B01979,07/07/2015, 1 , 1 
B01984,07/07/2015, 774 , 123 
B02003,07/07/2015, 208 , 80 
B02005,07/07/2015, 24 , 14 
B02034,07/07/2015, 39 , 12 
B02054,07/07/2015, 50 , 12 
B02073,07/07/2015, 13 , 5 
B02127,07/07/2015, 6 , 6 
B02133,07/07/2015, 92 , 31 
B02147,07/07/2015, 31 , 14 
B02152,07/07/2015, 18 , -   
B02155,07/07/2015, 17 , 10 
B02160,07/07/2015, 3 , 3 
B02167,07/07/2015, 3 , 1 
B02175,07/07/2015, 3 , 3 
B02182,07/07/2015, 18 , 3 
B02191,07/07/2015, 32 , 17 
B02196,07/07/2015, 1 , 1 
B02217,07/07/2015, 26 , 10 
B02241,07/07/2015, 102 , -   
B02248,07/07/2015, 11 , 1 
B02252,07/07/2015, 3 , 1 
B02285,07/07/2015, 176 , 73 
B02287,07/07/2015, 6 , 4 
B02377,07/07/2015, 4 , 2 
B02389,07/07/2015, 64 , 16 
B02423,07/07/2015, 22 , 3 
B02440,07/07/2015, 37 , -   
B02447,07/07/2015, 2 , 2 
B02453,07/07/2015, 21 , 8 
B02460,07/07/2015, 2 , 2 
B02468,07/07/2015, 126 , 34 
B02470,07/07/2015, 18 , 6 
B02491,07/07/2015, 30 , 5 
B02511,07/07/2015, 31 , 15 
B02532,07/07/2015, 18 , -   
B02541,07/07/2015, 11 , 7 
B02555,07/07/2015, 33 , -   
B02574,07/07/2015, 54 , 38 
B02590,07/07/2015, 70 , -   
B02610,07/07/2015, 10 , 4 
B02611,07/07/2015, 6 , 3 
B02631,07/07/2015, 3 , 3 
B02661,07/07/2015, 51 , -   
B02666,07/07/2015, 5 , 4 
B02674,07/07/2015, 36 , 6 
B02675,07/07/2015, 37 , 8 
B02681,07/07/2015, 3 , 1 
B02694,07/07/2015, 5 , 5 
B02711,07/07/2015, 12 , 3 
B02723,07/07/2015, 35 , 18 
B02727,07/07/2015, 2 , 2 
B02808,07/07/2015, 6 , 1 
B00008,07/08/2015, 197 , 18 
B00009,07/08/2015, 171 , 16 
B00013,07/08/2015, 498 , 113 
B00014,07/08/2015, 672 , 163 
B00030,07/08/2015, 131 , 14 
B00083,07/08/2015, 31 , 14 
B00095,07/08/2015, 456 , 63 
B00170,07/08/2015, 51 , 8 
B00171,07/08/2015, 213 , 15 
B00202,07/08/2015, 82 , 19 
B00208,07/08/2015, 21 , 3 
B00210,07/08/2015, 22 , 12 
B00235,07/08/2015, 25 , 11 
B00236,07/08/2015, 38 , 13 
B00277,07/08/2015, 174 , 36 
B00281,07/08/2015, 97 , 10 
B00381,07/08/2015, 480 , 116 
B00411,07/08/2015, 261 , 60 
B00412,07/08/2015, 454 , 83 
B00477,07/08/2015, 580 , 151 
B00481,07/08/2015, 62 , 7 
B00485,07/08/2015, 4 , 4 
B00593,07/08/2015, 1 , 1 
B00608,07/08/2015, 197 , 42 
B00623,07/08/2015, 24 , 8 
B00789,07/08/2015, 764 , 217 
B00837,07/08/2015, 486 , 168 
b00881,07/08/2015, 21 , 12 
B00888,07/08/2015, 162 , 43 
b00941,07/08/2015, 52 , -   
B00948,07/08/2015," 1,048 ", 59 
b00983,07/08/2015, 86 , 10 
b01013,07/08/2015, 62 , 7 
B01016,07/08/2015," 1,536 ", 69 
B01177,07/08/2015, 135 , 11 
B01197,07/08/2015, 322 , 94 
b01233,07/08/2015, 384 , 81 
B01269,07/08/2015, 39 , 7 
B01292,07/08/2015, 50 , 8 
B01308,07/08/2015, 120 , 24 
B01311,07/08/2015, 31 , 9 
B01351,07/08/2015, 10 , 5 
B01355,07/08/2015, 428 , 46 
B01367,07/08/2015, 270 , 78 
B01398,07/08/2015, 1 , -   
B01417,07/08/2015, 288 , -   
B01432,07/08/2015, 245 , 26 
B01445,07/08/2015, 140 , 47 
B01475,07/08/2015, 1 , -   
B01478,07/08/2015, 76 , 13 
B01509,07/08/2015, 637 , 68 
B01559,07/08/2015, 567 , 17 
B01608,07/08/2015, 19 , 5 
B01614,07/08/2015, 41 , 5 
B01623,07/08/2015, 52 , 7 
B01625,07/08/2015, 104 , 10 
B01635,07/08/2015, 28 , 8 
B01653,07/08/2015, 124 , 12 
B01672,07/08/2015, 47 , 22 
B01727,07/08/2015, 5 , 4 
B01751,07/08/2015, 139 , -   
B01779,07/08/2015, 54 , 19 
B01808,07/08/2015, 150 , 10 
B01849,07/08/2015, 4 , 4 
B01875,07/08/2015, 255 , 58 
B01876,07/08/2015, 1 , 1 
B01877,07/08/2015, 313 , 119 
B01899,07/08/2015, 776 , 89 
B01923,07/08/2015, 28 , 10 
B01928,07/08/2015, 2 , 2 
B01957,07/08/2015, 7 , 3 
B01970,07/08/2015, 4 , 2 
B01979,07/08/2015, 1 , 1 
B01984,07/08/2015, 919 , 125 
B02003,07/08/2015, 220 , 84 
B02005,07/08/2015, 42 , 16 
B02034,07/08/2015, 45 , 12 
B02054,07/08/2015, 40 , 10 
B02073,07/08/2015, 12 , 5 
B02106,07/08/2015, 2 , -   
B02127,07/08/2015, 5 , 2 
B02133,07/08/2015, 107 , 35 
B02147,07/08/2015, 50 , 18 
B02152,07/08/2015, 22 , -   
B02155,07/08/2015, 17 , 11 
B02160,07/08/2015, 3 , 3 
B02167,07/08/2015, 2 , -   
B02175,07/08/2015, 5 , 4 
B02182,07/08/2015, 13 , 3 
B02191,07/08/2015, 29 , 13 
B02217,07/08/2015, 35 , 10 
B02241,07/08/2015, 154 , -   
B02248,07/08/2015, 10 , 1 
B02252,07/08/2015, 5 , 3 
B02285,07/08/2015, 162 , 74 
B02287,07/08/2015, 10 , 5 
B02377,07/08/2015, 4 , 2 
B02389,07/08/2015, 62 , 17 
B02423,07/08/2015, 25 , 3 
B02440,07/08/2015, 48 , -   
B02447,07/08/2015, 2 , 2 
B02453,07/08/2015, 19 , 6 
B02460,07/08/2015, 38 , 12 
B02468,07/08/2015, 116 , 35 
B02470,07/08/2015, 15 , 5 
B02491,07/08/2015, 40 , 6 
B02511,07/08/2015, 22 , 12 
B02532,07/08/2015, 56 , -   
B02541,07/08/2015, 14 , 8 
B02555,07/08/2015, 31 , -   
B02574,07/08/2015, 38 , 29 
B02590,07/08/2015, 70 , -   
B02610,07/08/2015, 12 , 4 
B02611,07/08/2015, 2 , 1 
B02631,07/08/2015, 6 , 3 
B02633,07/08/2015, 4 , 3 
B02661,07/08/2015, 66 , -   
B02666,07/08/2015, 4 , 3 
B02674,07/08/2015, 36 , 6 
B02675,07/08/2015, 51 , 8 
B02681,07/08/2015, 3 , 2 
B02694,07/08/2015, 5 , 5 
B02711,07/08/2015, 1 , 1 
B02723,07/08/2015, 41 , 21 
B02727,07/08/2015, 3 , 3 
B02808,07/08/2015, 4 , 1 
B00008,07/09/2015, 245 , 18 
B00009,07/09/2015, 202 , 15 
B00013,07/09/2015, 477 , 109 
B00014,07/09/2015, 644 , 156 
B00030,07/09/2015, 80 , 9 
B00083,07/09/2015, 25 , 12 
B00095,07/09/2015, 584 , 68 
B00170,07/09/2015, 51 , 8 
B00171,07/09/2015, 201 , 15 
B00202,07/09/2015, 77 , 16 
B00208,07/09/2015, 15 , 3 
B00210,07/09/2015, 45 , 10 
B00235,07/09/2015, 22 , 12 
B00236,07/09/2015, 36 , 12 
B00277,07/09/2015, 174 , 39 
B00281,07/09/2015, 117 , 11 
B00381,07/09/2015, 466 , 115 
B00411,07/09/2015, 230 , 59 
B00412,07/09/2015, 426 , 95 
B00477,07/09/2015, 573 , 146 
B00481,07/09/2015, 90 , 10 
B00485,07/09/2015, 6 , 5 
B00593,07/09/2015, 3 , 3 
B00608,07/09/2015, 176 , 43 
B00623,07/09/2015, 12 , 4 
B00789,07/09/2015, 813 , 218 
B00837,07/09/2015, 436 , 158 
b00881,07/09/2015, 45 , 10 
B00888,07/09/2015, 174 , 44 
b00941,07/09/2015, 53 , -   
B00948,07/09/2015," 1,122 ", 57 
b00983,07/09/2015, 83 , 10 
b01013,07/09/2015, 67 , 7 
B01016,07/09/2015," 1,604 ", 73 
B01177,07/09/2015, 185 , 13 
B01197,07/09/2015, 275 , 95 
b01233,07/09/2015, 268 , 78 
B01269,07/09/2015, 37 , 7 
B01292,07/09/2015, 55 , 7 
B01308,07/09/2015, 102 , 24 
B01311,07/09/2015, 127 , 10 
B01351,07/09/2015, 10 , 5 
B01355,07/09/2015, 460 , 48 
B01367,07/09/2015, 265 , 79 
B01398,07/09/2015, 1 , -   
B01417,07/09/2015, 200 , -   
B01432,07/09/2015, 257 , 26 
B01445,07/09/2015, 38 , 24 
B01475,07/09/2015, 1 , -   
B01478,07/09/2015, 92 , 13 
B01509,07/09/2015, 730 , 67 
B01559,07/09/2015, 657 , 17 
B01608,07/09/2015, 24 , 7 
B01614,07/09/2015, 39 , 5 
B01623,07/09/2015, 56 , 8 
B01625,07/09/2015, 108 , 10 
B01635,07/09/2015, 25 , 7 
B01653,07/09/2015, 45 , 6 
B01672,07/09/2015, 47 , 23 
B01727,07/09/2015, 1 , 1 
B01751,07/09/2015, 140 , -   
B01779,07/09/2015, 62 , 19 
B01808,07/09/2015, 71 , 10 
B01849,07/09/2015, 9 , 6 
B01875,07/09/2015, 293 , 61 
B01877,07/09/2015, 344 , 116 
B01899,07/09/2015, 762 , 89 
B01923,07/09/2015, 32 , 9 
B01928,07/09/2015, 6 , 4 
B01957,07/09/2015, 9 , 3 
B01970,07/09/2015, 7 , 5 
B01979,07/09/2015, 1 , 1 
B01984,07/09/2015, 861 , 126 
B02003,07/09/2015, 221 , 86 
B02005,07/09/2015, 33 , 13 
B02034,07/09/2015, 30 , 11 
B02054,07/09/2015, 42 , 10 
B02073,07/09/2015, 13 , 6 
B02127,07/09/2015, 6 , 4 
B02133,07/09/2015, 99 , 33 
B02147,07/09/2015, 29 , 15 
B02152,07/09/2015, 21 , -   
B02155,07/09/2015, 19 , 11 
B02160,07/09/2015, 2 , 2 
B02167,07/09/2015, 2 , -   
B02175,07/09/2015, 3 , 3 
B02182,07/09/2015, 12 , 3 
B02191,07/09/2015, 38 , 17 
B02217,07/09/2015, 27 , 9 
B02241,07/09/2015, 114 , -   
B02252,07/09/2015, 7 , 2 
B02285,07/09/2015, 172 , 69 
B02287,07/09/2015, 7 , 5 
B02377,07/09/2015, 8 , 3 
B02389,07/09/2015, 67 , 18 
B02423,07/09/2015, 27 , 4 
B02440,07/09/2015, 44 , -   
B02447,07/09/2015, 2 , 2 
B02453,07/09/2015, 20 , 6 
B02460,07/09/2015, 13 , 9 
B02468,07/09/2015, 133 , 36 
B02470,07/09/2015, 20 , 8 
B02491,07/09/2015, 40 , 6 
B02511,07/09/2015, 31 , 12 
B02532,07/09/2015, 20 , -   
B02541,07/09/2015, 13 , 7 
B02555,07/09/2015, 28 , -   
B02574,07/09/2015, 73 , 46 
B02590,07/09/2015, 60 , -   
B02610,07/09/2015, 10 , 4 
B02611,07/09/2015, 2 , 1 
B02631,07/09/2015, 6 , 3 
B02633,07/09/2015, 2 , 2 
B02661,07/09/2015, 39 , -   
B02666,07/09/2015, 11 , 7 
B02674,07/09/2015, 38 , 6 
B02675,07/09/2015, 47 , 7 
B02681,07/09/2015, 4 , 3 
B02694,07/09/2015, 6 , 5 
B02711,07/09/2015, 6 , 2 
B02723,07/09/2015, 50 , 20 
B02727,07/09/2015, 2 , 2 
B02808,07/09/2015, 3 , 1 
B00008,07/10/2015, 311 , 21 
B00009,07/10/2015, 194 , 14 
B00013,07/10/2015, 293 , 87 
B00014,07/10/2015, 361 , 131 
B00030,07/10/2015, 133 , 13 
B00083,07/10/2015, 6 , 4 
B00095,07/10/2015, 615 , 69 
B00170,07/10/2015, 33 , 8 
B00171,07/10/2015, 149 , 14 
B00202,07/10/2015, 71 , 17 
B00208,07/10/2015, 21 , 4 
B00210,07/10/2015, 39 , 10 
B00235,07/10/2015, 22 , 10 
B00236,07/10/2015, 25 , 12 
B00277,07/10/2015, 113 , 33 
B00281,07/10/2015, 122 , 11 
B00381,07/10/2015, 266 , 91 
B00411,07/10/2015, 149 , 51 
B00412,07/10/2015, 279 , 72 
B00477,07/10/2015, 343 , 126 
B00481,07/10/2015, 96 , 9 
B00485,07/10/2015, 4 , 4 
B00593,07/10/2015, 4 , 3 
B00608,07/10/2015, 135 , 35 
B00623,07/10/2015, 6 , 4 
B00789,07/10/2015, 499 , 181 
B00837,07/10/2015, 336 , 136 
b00881,07/10/2015, 39 , 10 
B00888,07/10/2015, 73 , 31 
b00941,07/10/2015, 54 , -   
B00948,07/10/2015," 1,184 ", 58 
b00983,07/10/2015, 85 , 11 
b01013,07/10/2015, 72 , 7 
B01016,07/10/2015," 1,998 ", 70 
B01177,07/10/2015, 187 , 13 
B01197,07/10/2015, 204 , 78 
b01233,07/10/2015, 441 , 88 
B01269,07/10/2015, 29 , 7 
B01292,07/10/2015, 53 , 7 
B01308,07/10/2015, 115 , 24 
B01311,07/10/2015, 26 , 8 
B01351,07/10/2015, 10 , 5 
B01355,07/10/2015, 474 , 42 
B01367,07/10/2015, 169 , 65 
