Base Number,Pick Up Date,Number of Trips,Number of Vehicles
B01386,01/12/2015," 2,152 ", 198 
B01522,01/12/2015, 97 , 16 
B01651,01/12/2015, 373 , 52 
B01777,01/12/2015, 760 , 136 
B01848,01/12/2015, 7 , -   
B01877,01/12/2015, 379 , 130 
B01899,01/12/2015," 1,181 ", 118 
B01949,01/12/2015, 68 , 33 
B01984,01/12/2015, 509 , 93 
B01990,01/12/2015, 108 , 31 
B02003,01/12/2015, 224 , 81 
B02022,01/12/2015, 97 , 27 
B02096,01/12/2015, 20 , 15 
B02107,01/12/2015, 756 , 89 
B02120,01/12/2015, 271 , 94 
B02147,01/12/2015, 42 , 11 
B02183,01/12/2015, 11 , 11 
B02285,01/12/2015, 235 , 82 
B02475,01/12/2015, 17 , 6 
